"","expr","time","fun_name"
"167","R",521578,"destinationAngle"
"168","Rcpp",21851,"destinationAngle"
"169","R",528751,"destinationAngle"
"170","Rcpp",22172,"destinationAngle"
"171","Rcpp",18555,"destinationAngle"
"172","Rcpp",18234,"destinationAngle"
"173","Rcpp",19547,"destinationAngle"
"174","Rcpp",18565,"destinationAngle"
"175","Rcpp",18375,"destinationAngle"
"176","Rcpp",18224,"destinationAngle"
"177","R",533370,"destinationAngle"
"178","Rcpp",21540,"destinationAngle"
"179","R",522761,"destinationAngle"
"180","R",534362,"destinationAngle"
"181","Rcpp",22342,"destinationAngle"
"182","R",525004,"destinationAngle"
"183","Rcpp",21670,"destinationAngle"
"184","R",527629,"destinationAngle"
"185","Rcpp",21901,"destinationAngle"
"186","Rcpp",18294,"destinationAngle"
"187","Rcpp",17964,"destinationAngle"
"188","Rcpp",18044,"destinationAngle"
"189","Rcpp",18184,"destinationAngle"
"190","R",522129,"destinationAngle"
"191","Rcpp",21781,"destinationAngle"
"192","Rcpp",18144,"destinationAngle"
"193","Rcpp",18295,"destinationAngle"
"194","R",526838,"destinationAngle"
"195","R",518051,"destinationAngle"
"196","Rcpp",27432,"destinationAngle"
"197","Rcpp",18565,"destinationAngle"
"198","R",525065,"destinationAngle"
"199","R",525646,"destinationAngle"
"200","Rcpp",22683,"destinationAngle"
"201","R",523241,"destinationAngle"
"202","Rcpp",21651,"destinationAngle"
"203","R",527589,"destinationAngle"
"204","Rcpp",21731,"destinationAngle"
"205","Rcpp",18165,"destinationAngle"
"206","R",515877,"destinationAngle"
"207","Rcpp",20980,"destinationAngle"
"208","R",524453,"destinationAngle"
"209","Rcpp",21580,"destinationAngle"
"210","Rcpp",18094,"destinationAngle"
"211","Rcpp",20458,"destinationAngle"
"212","Rcpp",18866,"destinationAngle"
"213","Rcpp",17994,"destinationAngle"
"214","R",517370,"destinationAngle"
"215","Rcpp",21411,"destinationAngle"
"216","R",524012,"destinationAngle"
"217","Rcpp",21290,"destinationAngle"
"218","R",516228,"destinationAngle"
"219","Rcpp",21690,"destinationAngle"
"220","Rcpp",23154,"destinationAngle"
"221","R",517571,"destinationAngle"
"222","Rcpp",21420,"destinationAngle"
"223","Rcpp",18796,"destinationAngle"
"224","Rcpp",18675,"destinationAngle"
"225","Rcpp",17934,"destinationAngle"
"226","R",525816,"destinationAngle"
"227","R",516759,"destinationAngle"
"228","R",521448,"destinationAngle"
"229","Rcpp",23094,"destinationAngle"
"230","Rcpp",18845,"destinationAngle"
"231","Rcpp",18445,"destinationAngle"
"232","Rcpp",17734,"destinationAngle"
"233","R",519684,"destinationAngle"
"234","Rcpp",21400,"destinationAngle"
"235","Rcpp",18445,"destinationAngle"
"236","R",522870,"destinationAngle"
"237","Rcpp",21600,"destinationAngle"
"238","R",523441,"destinationAngle"
"239","Rcpp",22292,"destinationAngle"
"240","R",530134,"destinationAngle"
"241","R",515337,"destinationAngle"
"242","Rcpp",22082,"destinationAngle"
"243","R",591038,"destinationAngle"
"244","R",680536,"destinationAngle"
"245","Rcpp",27712,"destinationAngle"
"246","Rcpp",22332,"destinationAngle"
"247","Rcpp",23514,"destinationAngle"
"248","R",720701,"destinationAngle"
"249","Rcpp",22162,"destinationAngle"
"250","R",549420,"destinationAngle"
"251","Rcpp",22131,"destinationAngle"
"252","Rcpp",18395,"destinationAngle"
"253","Rcpp",17904,"destinationAngle"
"254","Rcpp",20448,"destinationAngle"
"255","Rcpp",18485,"destinationAngle"
"256","R",564659,"destinationAngle"
"257","R",560711,"destinationAngle"
"258","R",605014,"destinationAngle"
"259","R",580668,"destinationAngle"
"260","Rcpp",25578,"destinationAngle"
"261","R",702327,"destinationAngle"
"262","R",557375,"destinationAngle"
"263","R",557164,"destinationAngle"
"264","Rcpp",22813,"destinationAngle"
"265","Rcpp",20048,"destinationAngle"
"266","R",566903,"destinationAngle"
"267","R",559590,"destinationAngle"
"268","Rcpp",24186,"destinationAngle"
"269","Rcpp",20107,"destinationAngle"
"270","Rcpp",18234,"destinationAngle"
"271","Rcpp",20659,"destinationAngle"
"272","Rcpp",19707,"destinationAngle"
"273","Rcpp",19908,"destinationAngle"
"274","R",571421,"destinationAngle"
"275","R",613861,"destinationAngle"
"276","R",623419,"destinationAngle"
"277","Rcpp",35977,"destinationAngle"
"278","R",592842,"destinationAngle"
"279","R",608942,"destinationAngle"
"280","Rcpp",26189,"destinationAngle"
"281","Rcpp",21571,"destinationAngle"
"282","R",602630,"destinationAngle"
"283","R",610926,"destinationAngle"
"284","Rcpp",25388,"destinationAngle"
"285","R",615254,"destinationAngle"
"286","Rcpp",25118,"destinationAngle"
"287","Rcpp",21410,"destinationAngle"
"288","R",591449,"destinationAngle"
"289","R",595697,"destinationAngle"
"290","R",601669,"destinationAngle"
"291","R",595016,"destinationAngle"
"292","Rcpp",23133,"destinationAngle"
"293","R",592361,"destinationAngle"
"294","Rcpp",22763,"destinationAngle"
"295","Rcpp",22943,"destinationAngle"
"296","R",612488,"destinationAngle"
"297","Rcpp",26960,"destinationAngle"
"298","Rcpp",25558,"destinationAngle"
"299","Rcpp",18605,"destinationAngle"
"300","R",623329,"destinationAngle"
"301","R",608822,"destinationAngle"
"302","R",580068,"destinationAngle"
