"","expr","time","fun_name"
"188","R",8386,"object2lines"
"189","Rcpp",7715,"object2lines"
"190","R",8255,"object2lines"
"191","R",8216,"object2lines"
"192","Rcpp",8055,"object2lines"
"193","Rcpp",7785,"object2lines"
"194","R",8286,"object2lines"
"195","R",8165,"object2lines"
"196","Rcpp",7674,"object2lines"
"197","R",8256,"object2lines"
"198","Rcpp",7674,"object2lines"
"199","R",8556,"object2lines"
"200","R",8235,"object2lines"
"201","Rcpp",7874,"object2lines"
"202","Rcpp",7595,"object2lines"
"203","Rcpp",7364,"object2lines"
"204","Rcpp",7494,"object2lines"
"205","Rcpp",7444,"object2lines"
"206","R",9367,"object2lines"
"207","Rcpp",12534,"object2lines"
"208","R",8667,"object2lines"
"209","R",8355,"object2lines"
"210","R",8195,"object2lines"
"211","R",8196,"object2lines"
"212","R",8456,"object2lines"
"213","R",8205,"object2lines"
"214","R",8086,"object2lines"
"215","R",8225,"object2lines"
"216","Rcpp",8156,"object2lines"
"217","R",8566,"object2lines"
"218","R",8136,"object2lines"
"219","R",8175,"object2lines"
"220","R",8045,"object2lines"
"221","R",7995,"object2lines"
"222","R",8055,"object2lines"
"223","R",7985,"object2lines"
"224","Rcpp",7825,"object2lines"
"225","R",8506,"object2lines"
"226","Rcpp",7615,"object2lines"
"227","Rcpp",7544,"object2lines"
"228","Rcpp",7665,"object2lines"
"229","R",8576,"object2lines"
"230","Rcpp",7555,"object2lines"
"231","R",8365,"object2lines"
"232","R",7995,"object2lines"
"233","R",8195,"object2lines"
"234","R",8306,"object2lines"
"235","R",8146,"object2lines"
"236","Rcpp",7824,"object2lines"
"237","R",8275,"object2lines"
"238","R",8176,"object2lines"
"239","Rcpp",8396,"object2lines"
"240","Rcpp",7414,"object2lines"
"241","R",8386,"object2lines"
"242","R",8306,"object2lines"
"243","Rcpp",7845,"object2lines"
"244","Rcpp",7724,"object2lines"
"245","Rcpp",7354,"object2lines"
"246","Rcpp",7485,"object2lines"
"247","R",8436,"object2lines"
"248","Rcpp",7895,"object2lines"
"249","R",8796,"object2lines"
"250","Rcpp",7724,"object2lines"
"251","R",8476,"object2lines"
"252","R",8256,"object2lines"
"253","Rcpp",8175,"object2lines"
"254","Rcpp",7744,"object2lines"
"255","Rcpp",7905,"object2lines"
"256","R",8887,"object2lines"
"257","Rcpp",7605,"object2lines"
"258","Rcpp",8305,"object2lines"
"259","Rcpp",7744,"object2lines"
"260","Rcpp",7535,"object2lines"
"261","Rcpp",7965,"object2lines"
"262","Rcpp",7714,"object2lines"
